id,name,attribution,description,count_rows,viewCount,downloadCount,category,tags,createdAt,updatedAt,dataUpdatedAt,metadataUpdatedAt,domain,attributionLink,webUri,dataUri
fkec-mjr6,"DOHMH Cryptosporidiosis by Race/Ethnicity, Age Group, and Borough of Residence",Department of Health and Mental Hygiene (DOHMH),"Cryptosporidiosis, number of cases and annual case rate per 100, 000 population by race/ethnicity, age group and borough of residence, New York City.",182,84,4,Health,"['cryptosporidiosis', 'diagnosis year', 'race ethnicty', 'borough of residence', 'age group', 'case rate']",2024-08-05T14:12:47+0000,2024-08-05T16:34:05+0000,2024-08-05T16:04:46+0000,2024-08-05T16:33:29+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/fkec-mjr6,https://data.cityofnewyork.us/resource/fkec-mjr6
mzxg-pwib,New York City Bike Routes,Department of Transportation (DOT),"The New York City Department of Transportation (NYC DOT) builds and manages bicycle facilities across the five boroughs, alongside other City agencies, New York State, and external partners. This dataset contain records of the current and historic network of designated bicycle routes and facilities, including bicycle facility type and relevant street information represented as line segments. Additional information about NYC DOT's commitment to safe all-ages and abilities bicycling, along with data about the growth of bicycling in NYC and PDF maps of the current network can be found at: https://www.nyc.gov/html/dot/html/bicyclists/bicyclists.shtml",27673,471,101,,"['nyc bike routes', 'bike routes']",2024-07-24T15:57:31+0000,2024-07-30T00:51:27+0000,2024-07-24T16:06:04+0000,2024-07-30T00:50:54+0000,data.cityofnewyork.us,https://www.nyc.gov/html/dot/html/bicyclists/bicyclists.shtml,https://data.cityofnewyork.us/d/mzxg-pwib,https://data.cityofnewyork.us/resource/mzxg-pwib
6r9j-qrwz,DSNY Disposal Facilities Used by Year,NYC Department of Sanitation (DSNY),"A listing of the facilities used by year to handle NYC Department of Sanitation (DSNY) collected waste (refuse/trash). It includes information on owner, type, tonnage, price per ton, and total loads.",91,96,7,City Government,"['sanitation', 'waste', 'transfer station', 'waste to energy', 'landfill']",2024-07-12T18:37:24+0000,2024-07-31T19:51:22+0000,2024-07-31T14:21:50+0000,2024-07-31T19:45:38+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/6r9j-qrwz,https://data.cityofnewyork.us/resource/6r9j-qrwz
99xv-he3n,DSNY Disposal Sites Used by Facilities by Year,NYC Department of Sanitation (DSNY),A listing of the disposal sites used by each facility that receives NYC Department of Sanitation (DSNY) collected waste. It includes information on the tonnages delivered and the transportation methods used to carry DSNY waste from the facilities to disposal sites (as applicable).,188,71,8,City Government,"['sanitation', 'waste', 'transfer station', 'waste to energy', 'landfill']",2024-07-12T18:18:59+0000,2024-07-31T19:51:26+0000,2024-07-31T14:18:13+0000,2024-07-31T19:44:47+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/99xv-he3n,https://data.cityofnewyork.us/resource/99xv-he3n
ufxk-pq9j,Location of Disposal Facilities and Sites Used for DSNY-Managed Waste,NYC Department of Sanitation (DSNY),"The location of the disposal facilities where DSNY collected waste (refuse/trash) is taken and the disposal sites, where applicable, this waste is subsequently transported for final disposal.",39,84,17,City Government,"['sanitation', 'waste', 'transfer station', 'waste to energy', 'landfill', 'disposal site', 'disposal facility']",2024-07-12T17:54:05+0000,2024-07-31T19:51:24+0000,2024-07-31T14:33:03+0000,2024-07-31T19:45:15+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/ufxk-pq9j,https://data.cityofnewyork.us/resource/ufxk-pq9j
6a2s-2t65,EZ Pass Readers July 2024- current,Department of Transportation (DOT),"E-Z Pass readers are installed throughout NYC to determine traffic speed on local streets. The collected data were used to plan traffic calming and reorganizations of NYC streets. Projects like Midtown in Motion (MIM), a congestion management program served midtown Manhattan from 1st to 9th Avenue between 42nd to 57th Streets was conducted to make best adjustments for driver's needs.

For the historical data, please refer to this <a href=""https://data.cityofnewyork.us/d/erdf-2akx"">dataset.</a>",13260503,215,64,Transportation,"['traffic', 'speed', 'midtown', 'central business district', 'cbd', 'ez pass']",2024-07-10T18:37:32+0000,2024-08-19T05:38:20+0000,2024-08-19T05:40:54+0000,2024-08-19T05:38:20+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/6a2s-2t65,https://data.cityofnewyork.us/resource/6a2s-2t65
ywip-y6qr,2023 For Hire Vehicles Trip Data,Taxi and Limousine Commission (TLC),"These records are generated from the For-Hire Vehicle (“FHV”) Trip Record submissions made by traditional livery, luxury, and black car bases. The FHV trip records include fields capturing the dispatching base license number and the pick-up date, time, and taxi zone location ID, which correspond with the NYC Taxi Zones open dataset. Each row represents a single trip in an FHV.",15858639,215,96,Transportation,"['taxi', 'trip data', 'fhv', 'trip', 'base', 'high volume', 'uber', 'lyft', 'via']",2024-07-03T18:13:24+0000,2024-07-16T18:39:52+0000,2024-07-03T19:56:46+0000,2024-07-16T18:39:26+0000,data.cityofnewyork.us,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://data.cityofnewyork.us/d/ywip-y6qr,https://data.cityofnewyork.us/resource/ywip-y6qr
xrxs-qn95,Enforcement Actions Board Determinations and Penalties,Campaign Finance Board (CFB),This dataset lists the board determinations and penalties that the New York City Campaign Finance Board has imposed on New York City political campaigns from the year 2000 to the present.,2734,73,101,City Government,"['finance', 'campaign finance board', 'campaign finance', 'elections', 'contributions', 'politics', 'campaign', 'funding']",2024-07-02T14:57:46+0000,2024-07-26T17:21:21+0000,2024-07-02T15:10:41+0000,2024-07-26T17:20:41+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/xrxs-qn95,https://data.cityofnewyork.us/resource/xrxs-qn95
u253-aew4,2023 High Volume FHV Trip Data,Taxi and Limousine Commission (TLC),"These records are generated from the trip record submissions made by High Volume For-Hire Vehicle (FHV) bases. On August 14, 2018, Mayor de Blasio signed Local Law 149 of 2018, creating a new license category for TLC-licensed FHV businesses that currently dispatch or plan to dispatch more than 10,000 FHV trips in New York City per day under a single brand, trade, or operating name, referred to as High-Volume For-Hire Services (HVFHS). This law went into effect on Feb 1, 2019. Each row represents a single trip in a FHV dispatched by a high volume base.  The trip records include fields capturing the high volume license number, the pickup and drop-off date, time, and taxi zone location ID, which correspond with the NYC Taxi Zones open dataset.",232490020,219,20,Transportation,"['taxi', 'trip data', 'fhv', 'trip', 'base', 'high volume', 'uber', 'lyft', 'via']",2024-07-02T13:34:52+0000,2024-07-16T18:41:11+0000,2024-07-15T17:29:03+0000,2024-07-16T18:40:12+0000,data.cityofnewyork.us,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://data.cityofnewyork.us/d/u253-aew4,https://data.cityofnewyork.us/resource/u253-aew4
x4w5-m7uh,Enforcement Audit Determinations,Campaign Finance Board (CFB),This dataset lists the audit determinations that the New York City Campaign Finance Board has imposed on New York City political campaigns from the year 2000 to the present.,3351,59,41,City Government,"['finance', 'campaign finance board', 'campaign finance', 'elections', 'contributions', 'politics', 'campaign', 'funding']",2024-07-01T17:54:09+0000,2024-07-26T17:21:17+0000,2024-07-01T18:10:43+0000,2024-07-26T17:20:49+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/x4w5-m7uh,https://data.cityofnewyork.us/resource/x4w5-m7uh
